CIF_id,Compound,A,B,A_shortest_dist_count,B_shortest_dist_count,A_avg_shortest_dist_count,B_avg_shortest_dist_count,A_shortest_tol_dist_count,B_shortest_tol_dist_count,A_avg_shortest_dist_within_tol_count,B_avg_shortest_dist_within_tol_count,A_second_by_first_shortest_dist,B_second_by_first_shortest_dist,A_avg_second_by_first_shortest_dist,B_avg_second_by_first_shortest_dist,A_second_shortest_dist_count,B_second_shortest_dist_count,A_avg_second_shortest_dist_count,B_avg_second_shortest_dist_count,A_homoatomic_dist_by_shortest_dist,B_homoatomic_dist_by_shortest_dist,A_avg_homoatomic_dist_by_shortest_dist,B_avg_homoatomic_dist_by_shortest_dist,A_count_at_A_shortest_dist,A_count_at_B_shortest_dist,A_avg_count_at_A_shortest_dist,A_avg_count_at_B_shortest_dist,B_count_at_A_shortest_dist,B_count_at_B_shortest_dist,B_avg_count_at_A_shortest_dist,B_avg_count_at_B_shortest_dist
250977,ErNi3,Er,Ni,6,6,6.0,3.3333,9,19,7.5,6.3333,1.0246,1.1774,1.0719,1.0618,3,6,7.5,4.6667,1.0894,1.0012,1.1463,1.0006,0,0,0.0,0.0,6,10,6.0,3.3333
250476,EuPb3,Eu,Pb,12,12,12.0,12.0,12,12,12.0,12.0,1.4138,1.4138,1.4138,1.4138,6,6,6.0,6.0,1.4129,0.9991,1.4129,0.9991,0,4,0.0,4.0,12,8,12.0,8.0
250804,La0.75Pt2.25,La,Pt,12,6,12.0,9.0,20,6,20.0,13.0,1.0438,1.1722,1.0438,1.108,8,12,8.0,10.0,1.0452,1.0003,1.0452,1.0005,0,0,0.0,0.0,12,18,12.0,9.0
250191,Mo3Pt,Mo,Pt,2,12,2.0,12.0,2,12,2.0,12.0,1.1205,1.5484,1.1205,1.5484,4,8,4.0,8.0,1.0014,1.548,1.0014,1.548,2,12,2.0,12.0,0,0,0.0,0.0
250966,Pd3.25In9.75,Pd,In,3,3,4.5,2.6667,15,29,13.5,9.6667,1.0186,1.0186,1.0112,1.0136,12,12,7.5,6.0,0.9998,1.0172,0.9998,1.01,3,6,3.0,2.0,0,2,1.5,0.6667
250368,EuSn3,Eu,Sn,12,12,12.0,12.0,12,12,12.0,12.0,1.4149,1.4149,1.4149,1.4149,6,6,6.0,6.0,1.4163,1.0014,1.4163,1.0014,0,4,0.0,4.0,12,8,12.0,8.0
250367,SmSn3,Sm,Sn,12,12,12.0,12.0,12,12,12.0,12.0,1.4169,1.4169,1.4169,1.4169,6,6,6.0,6.0,1.4159,1.0012,1.4159,1.0012,0,4,0.0,4.0,12,8,12.0,8.0
250931,YbPd3,Yb,Pd,12,12,12.0,12.0,12,12,12.0,12.0,1.4126,1.4126,1.4126,1.4126,6,6,6.0,6.0,1.4136,0.9996,1.4136,0.9996,0,4,0.0,4.0,12,8,12.0,8.0
250562,WRh3,W,Rh,12,10,12.0,10.0,24,20,24.0,20.0,1.0187,1.0187,1.0187,1.0187,12,10,12.0,10.0,1.4278,1.0018,1.4278,1.0018,0,2,0.0,2.0,12,8,12.0,8.0
250461,GdCo3,Gd,Co,6,6,6.0,3.3333,9,19,7.5,6.3333,1.0276,1.1825,1.0705,1.0635,3,6,7.5,3.3333,1.0908,1.0,1.1419,0.9994,0,0,0.0,0.0,6,10,6.0,3.3333
250742,V3Ir,V,Ir,2,12,2.0,12.0,2,12,2.0,12.0,1.1213,1.5448,1.1213,1.5448,4,8,4.0,8.0,1.0013,1.5466,1.0013,1.5466,2,12,2.0,12.0,0,0,0.0,0.0
250910,Pr0.25Tb0.75,Pr,Tb,12,12,12.0,12.0,24,24,24.0,24.0,1.0197,1.0197,1.0197,1.0197,12,12,12.0,12.0,0.9996,0.9996,0.9996,0.9996,6,6,6.0,6.0,6,6,6.0,6.0
