CIF_id,Compound,A,B,lowest_wyckoff_elements,A_lowest_wyckoff_label,B_lowest_wyckoff_label,identical_lowest_wyckoff_count,A_sites_total,B_sites_total,A_multiplicity_total,B_multiplicity_total
250977,ErNi3,Er,Ni,"Er, Ni",3,3,2,2,3,9,27
250476,EuPb3,Eu,Pb,Eu,1,3,1,1,1,1,3
250804,La0.75Pt2.25,La,Pt,"La, Pt",8,8,2,1,2,8,24
250191,Mo3Pt,Mo,Pt,Pt,6,2,1,1,1,6,2
250966,Pd3.25In9.75,Pd,In,"Pd, In",8,8,2,2,3,16,44
250368,EuSn3,Eu,Sn,Eu,1,3,1,1,1,1,3
250367,SmSn3,Sm,Sn,Sm,1,3,1,1,1,1,3
250931,YbPd3,Yb,Pd,Yb,1,3,1,1,1,1,3
250562,WRh3,W,Rh,W,2,6,1,1,1,2,6
250461,GdCo3,Gd,Co,"Gd, Co",3,3,2,2,3,9,27
250742,V3Ir,V,Ir,Ir,6,2,1,1,1,6,2
250910,Pr0.25Tb0.75,Pr,Tb,"Pr, Tb",2,2,2,1,1,2,2
250381,HoIn3,Ho,In,Ho,1,3,1,1,1,1,3
250377,SmIn3,Sm,In,Sm,1,3,1,1,1,1,3
250384,YbIn3,Yb,In,Yb,1,3,1,1,1,1,3
250505,PrAl3,Pr,Al,Pr,2,6,1,1,1,2,6
250338,ErPd3,Er,Pd,Er,1,3,1,1,1,1,3
250807,Eu0.75Pt2.25,Eu,Pt,"Eu, Pt",8,8,2,1,2,8,24
250808,Gd0.75Pt2.25,Gd,Pt,"Gd, Pt",8,8,2,1,2,8,24
250365,PrSn3,Pr,Sn,Pr,1,3,1,1,1,1,3
250364,CeSn3,Ce,Sn,Ce,1,3,1,1,1,1,3
250809,DyPt3,Dy,Pt,Dy,1,3,1,1,1,1,3
250507,LaAl3,La,Al,La,2,6,1,1,1,2,6
250363,LaSn3,La,Sn,La,1,3,1,1,1,1,3
250963,Pt3In,Pt,In,In,3,1,1,1,1,3,1
250504,NdAl3,Nd,Al,Nd,2,6,1,1,1,2,6
250737,TaNi3,Ta,Ni,"Ta, Ni",2,2,2,1,2,2,6
250333,EuPd3,Eu,Pd,Eu,1,3,1,1,1,1,3
250370,YbSn3,Yb,Sn,Yb,1,3,1,1,1,1,3
250717,TbAl3,Tb,Al,Tb,3,9,1,2,2,9,27
250765,SmCo3,Sm,Co,"Sm, Co",3,3,2,2,3,9,27
250462,GdNi3,Gd,Ni,"Gd, Ni",3,3,2,2,3,9,27
250735,NbNi3,Nb,Ni,"Nb, Ni",2,2,2,1,2,2,6
250469,YbIn3,Yb,In,Yb,1,3,1,1,1,1,3
250329,CePd3,Ce,Pd,Ce,1,3,1,1,1,1,3
250893,PrPd3,Pr,Pd,Pr,1,3,1,1,1,1,3
250330,PrPd3,Pr,Pd,Pr,1,3,1,1,1,1,3
250679,EuPb3,Eu,Pb,Eu,1,3,1,1,1,1,3
250753,Au3Ho,Ho,Au,"Ho, Au",2,2,2,1,2,2,6
250755,Au3Yb,Yb,Au,"Yb, Au",2,2,2,1,2,2,6
250805,Pr0.75Pt2.25,Pr,Pt,"Pr, Pt",8,8,2,1,2,8,24
250378,GdIn3,Gd,In,Gd,1,3,1,1,1,1,3
250223,Nb0.25Ru0.75,Nb,Ru,"Nb, Ru",2,2,2,1,1,2,2
250373,LaIn3,La,In,La,1,3,1,1,1,1,3
250525,TiNi3,Ti,Ni,Ti,2,6,1,2,2,4,12
250763,Sm3Co,Sm,Co,"Sm, Co",4,4,2,2,1,12,4
250811,Ce0.75Pt2.25,Ce,Pt,"Ce, Pt",8,8,2,1,2,8,24
250380,DyIn3,Dy,In,Dy,1,3,1,1,1,1,3
250464,YCo3,Y,Co,"Y, Co",3,3,2,2,3,9,27
250101,TmAl3,Tm,Al,Tm,1,3,1,1,1,1,3
250668,La3Co,La,Co,"La, Co",4,4,2,2,1,12,4
250648,LuPt3,Lu,Pt,Lu,1,3,1,1,1,1,3
250564,MoRh3,Mo,Rh,Mo,2,6,1,1,1,2,6
250022,Nb0.25Re0.75,Nb,Re,"Nb, Re",2,2,2,4,4,58,58
250379,TbIn3,Tb,In,Tb,1,3,1,1,1,1,3
250399,V3Ga,V,Ga,Ga,6,2,1,1,1,6,2
250628,Nb0.75Co2.25,Nb,Co,"Nb, Co",4,4,2,2,5,8,24
