CIF_id,Compound,lowest_wyckoff_elements,Mendeleev_number_of_elements_with_lowest_wyckoff,valence_e_of_elements_with_lowest_wyckoff,CIF_rad_of_elements_with_lowest_wyckoff,CIF_rad_refined_of_elements_with_lowest_wyckoff,Pauling_rad_of_elements_with_lowest_wyckoff,Pauling_EN_of_elements_with_lowest_wyckoff,MB_EN_of_elements_with_lowest_wyckoff,highest_Mendeleev_number_sites,lowest_Mendeleev_number_sites,highest_Mendeleev_number_multiplicity,lowest_Mendeleev_number_multiplicity,highest_valence_e_sites,lowest_valence_e_sites,highest_valence_e_multiplicity,lowest_valence_e_multiplicity,highest_CIF_rad_sites,lowest_CIF_rad_sites,highest_CIF_rad_multiplicity,lowest_CIF_rad_multiplicity,highest_CIF_rad_refined_sites,lowest_CIF_rad_refined_sites,highest_CIF_rad_refined_multiplicity,lowest_CIF_rad_refined_multiplicity,highest_Pauling_rad_sites,lowest_Pauling_rad_sites,highest_Pauling_rad_multiplicity,lowest_Pauling_rad_multiplicity,highest_Pauling_EN_sites,lowest_Pauling_EN_sites,highest_Pauling_EN_multiplicity,lowest_Pauling_EN_multiplicity,highest_MB_EN_sites,lowest_MB_EN_sites,highest_MB_EN_multiplicity,lowest_MB_EN_multiplicity
250977,ErNi3,"Er, Ni","35, 61","14, 10","1.6438, 1.2515","1.6185, 1.2304","1.6438, 1.2515","1.24, 1.91","1.2, 1.76",3,2,27,9,2,3,9,27,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
250476,EuPb3,Eu,25,9,1.6846,1.7384,1.6846,1.2,1.15,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1
250804,La0.75Pt2.25,"La, Pt","13, 63","3, 24","1.8186, 1.3843","1.8368, 1.3654","1.8186, 1.3843","1.1, 2.28","1.35, 1.91",2,1,24,8,2,1,24,8,1,2,8,24,1,2,8,24,1,2,8,24,2,1,24,8,2,1,24,8
250191,Mo3Pt,Pt,63,24,1.3843,1.5411,1.3843,2.28,1.91,1,1,2,6,1,1,2,6,1,1,2,6,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2
250966,Pd3.25In9.75,"Pd, In","62, 75","10, 13","1.3768, 1.6085","1.3447, 1.3447","1.3768, 1.6085","2.2, 1.78","2.08, 1.63",3,2,44,16,3,2,44,16,3,2,44,16,3,3,44,44,3,2,44,16,2,3,16,44,2,3,16,44
250368,EuSn3,Eu,25,9,1.6846,1.6774,1.6846,1.2,1.15,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250367,SmSn3,Sm,23,8,1.7165,1.657,1.7165,1.17,1.2,1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,1,3,1
250931,YbPd3,Yb,39,16,1.8969,1.4294,1.8969,1.1,1.1,1,1,3,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1
250562,WRh3,W,51,20,1.3701,1.3425,1.3701,2.36,1.79,1,1,6,2,1,1,2,6,1,1,2,6,1,1,2,6,1,1,2,6,1,1,2,6,1,1,6,2
250461,GdCo3,"Gd, Co","27, 58","10, 9","1.7454, 1.2492","1.6518, 1.2488","1.7454, 1.2492","1.2, 1.88","1.1, 1.72",3,2,27,9,2,3,9,27,2,3,9,27,2,3,9,27,2,3,9,27,3,2,27,9,3,2,27,9
