CIF_id,Compound,Central atom,Coordination number,A atom count in CN,B atom count in CN,Volume of polyhedron,Distance from central atom to center of mass,Number of edges,Number of faces,Shortest distance to center of any face,Shortest distance to center of any edge,Volume of the inscribed sphere,Packing efficiency of inscribed sphere in polyhedron
250022,Nb0.25Re0.75,Nb1,12,6,6,17.1452,0.638,12,8,1.2399,1.266,7.9849,0.4657
250022,Nb0.25Re0.75,Re1,12,6,6,17.1452,0.638,12,8,1.2399,1.266,7.985,0.4657
250022,Nb0.25Re0.75,Re4,9,6,3,16.1049,1.2344,12,8,0.5269,0.868,0.6128,0.038
250065,Mo3Os,Mo1,14,10,4,63.9856,0.0,36,24,2.2309,2.2405,46.5073,0.7268
250065,Mo3Os,Os1,12,12,0,53.7479,0.0,30,20,2.1526,2.3251,41.7801,0.7773
250101,TmAl3,Al1,12,4,8,61.74,0.0,30,20,2.2136,2.1,45.434,0.7359
250101,TmAl3,Tm1,12,0,12,61.74,0.0,30,20,2.2136,2.1,45.434,0.7359
250125,MoCo3,Co1,10,2,8,11.7376,0.0,12,8,1.0966,0.7404,5.5234,0.265
250125,MoCo3,Mo1,12,0,12,11.7383,0.0,30,20,1.0966,0.7405,5.5238,0.4706
250186,Mo0.25Pt0.75,Mo1,16,6,10,39.7486,0.2752,24,16,1.5919,1.3838,16.899,0.4252
250186,Mo0.25Pt0.75,Pt1,16,6,10,39.7486,0.2752,24,16,1.5919,1.3838,16.899,0.4252
250191,Mo3Pt,Mo1,14,10,4,64.5977,0.0,36,24,2.238,2.2476,46.9522,0.7268
250191,Mo3Pt,Pt1,12,12,0,54.262,0.0,30,20,2.1594,2.3324,42.1797,0.7773
250223,Nb0.25Ru0.75,Nb1,12,6,6,14.4674,0.0,12,8,1.1758,0.7938,6.8084,0.2862
250223,Nb0.25Ru0.75,Ru1,12,6,6,14.4674,0.0,12,8,1.1758,0.7938,6.8084,0.2862
250225,MoNi3,Mo1,12,0,12,39.643,0.0519,30,20,1.8813,1.7869,27.8904,0.7035
250225,MoNi3,Ni1,12,4,8,39.643,0.0519,30,20,1.8813,1.7869,27.8904,0.7035
250225,MoNi3,Ni2,12,4,8,39.643,0.0519,30,20,1.8813,1.7869,27.8904,0.7035
250236,Nb3Sn,Nb1,14,10,4,77.102,0.0,36,24,2.3739,2.3842,56.0408,0.7268
250236,Nb3Sn,Sn1,12,12,0,64.7657,0.0,30,20,2.2906,2.4742,50.3446,0.7773
250328,LaPd3,La1,12,0,12,63.3054,0.0,12,8,2.2321,2.1176,46.586,0.6046
250328,LaPd3,Pd1,12,4,8,63.3054,0.0,30,20,2.2321,2.1176,46.586,0.7359
250329,CePd3,Ce1,12,0,12,58.6104,0.0,12,8,2.1755,2.0639,43.131,0.6046
250329,CePd3,Pd1,12,4,8,58.6104,0.0,30,20,2.1755,2.0639,43.131,0.7359
250330,PrPd3,Pd1,12,4,8,59.0588,0.0,30,20,2.1811,2.0692,43.461,0.7359
250330,PrPd3,Pr1,12,0,12,59.0588,0.0,12,8,2.1811,2.0692,43.461,0.6046
250331,NdPd3,Nd1,12,0,12,58.5508,0.0,12,8,2.1748,2.0632,43.0871,0.6046
250331,NdPd3,Pd1,12,4,8,58.5508,0.0,30,20,2.1748,2.0632,43.0871,0.7359
250332,SmPd3,Pd1,12,4,8,57.6572,0.0,30,20,2.1637,2.0526,42.4295,0.7359
250332,SmPd3,Sm1,12,0,12,57.6572,0.0,12,8,2.1637,2.0526,42.4295,0.6046
250333,EuPd3,Eu1,12,0,12,57.2327,0.0,12,8,2.1584,2.0476,42.1171,0.6046
250333,EuPd3,Pd1,12,4,8,57.2327,0.0,30,20,2.1584,2.0476,42.1171,0.7359
