CIF_id,Compound,A,B,distAA,distBB,distAB,Asize,Bsize,Asize_by_Bsize,distAA_by2_byAsize,distBB_by2_byBsize,distAB_by2_byAsizebyBsize,Asize_ref,Bsize_ref,percent_diff_A_by_100,percent_diff_B_by_100,distAA_minus_ref_diff,distBB_minus_ref_diff,distAB_minus_ref_diff,refined_packing_eff,R_factor
250977,ErNi3,Er,Ni,3.1047,2.4607,2.8489,1.6438,1.2515,1.3135,0.9444,0.9831,0.984,1.6185,1.2304,-0.0154,-0.0169,-0.0426,0.0,-0.0,0.72254,0.0005
250476,EuPb3,Eu,Pb,4.917,3.4768,3.4768,1.6846,1.7253,0.9764,1.4594,1.0076,1.0196,1.7384,1.7384,0.032,0.0076,0.2929,0.0,0.0,0.74048,0.0011
250804,La0.75Pt2.25,La,Pt,3.3446,2.7308,3.2022,1.8186,1.3843,1.3137,0.9196,0.9864,0.9998,1.8368,1.3654,0.01,-0.0136,-0.0984,0.0,0.0,1.00598,0.0003
250191,Mo3Pt,Mo,Pt,2.4935,4.3188,2.7878,1.3617,1.3843,0.9837,0.9156,1.5599,1.0152,1.2468,1.5411,-0.0844,0.1132,0.0,0.2864,0.0,0.63991,0.02
250966,Pd3.25In9.75,Pd,In,2.6893,2.7363,2.6893,1.3768,1.6085,0.856,0.9767,0.8506,0.9009,1.3447,1.3447,-0.0233,-0.164,0.0,0.0172,0.0,0.72791,0.0274
250368,EuSn3,Eu,Sn,4.7445,3.3549,3.3549,1.6846,1.4899,1.1307,1.4082,1.1259,1.0568,1.6774,1.6774,-0.0043,0.1259,0.2929,0.0,0.0,0.74048,0.0159
250367,SmSn3,Sm,Sn,4.6866,3.3139,3.3139,1.7165,1.4899,1.1521,1.3652,1.1121,1.0335,1.657,1.657,-0.0347,0.1121,0.2929,0.0,0.0,0.74048,0.0138
250931,YbPd3,Yb,Pd,4.043,2.8588,2.8588,1.8969,1.3768,1.3778,1.0657,1.0382,0.8733,1.4294,1.4294,-0.2464,0.0382,0.2929,0.0,0.0,0.74048,0.0622
250562,WRh3,W,Rh,3.8265,2.6848,2.6849,1.3701,1.3444,1.0191,1.3964,0.9985,0.9891,1.3425,1.3424,-0.0202,-0.0015,0.2983,0.0,0.0,0.72370,0.0004
250461,GdCo3,Gd,Co,3.1632,2.4975,2.9006,1.7454,1.2492,1.3972,0.9062,0.9996,0.9686,1.6518,1.2488,-0.0536,-0.0004,-0.0444,0.0,0.0,0.72234,0.0029
250742,V3Ir,V,Ir,2.393,4.1448,2.6754,1.3117,1.3542,0.9686,0.9122,1.5303,1.0036,1.1965,1.479,-0.0878,0.0921,0.0,0.2864,0.0,0.63991,0.0162
250910,Pr0.25Tb0.75,Pr,Tb,3.5586,3.5586,3.5586,1.6334,1.6609,0.9834,1.0893,1.0713,1.0802,1.7793,1.7793,0.0893,0.0713,0.0,0.0,0.0,1.43915,0.0131
250381,HoIn3,Ho,In,4.5732,3.2337,3.2337,1.7086,1.6085,1.0622,1.3383,1.0052,0.9749,1.6169,1.6169,-0.0537,0.0052,0.2929,0.0,0.0,0.74047,0.0029
250377,SmIn3,Sm,In,4.6259,3.271,3.271,1.7165,1.6085,1.0671,1.3475,1.0168,0.9838,1.6355,1.6355,-0.0472,0.0168,0.2929,0.0,0.0,0.74048,0.0025
