CIF_id,Compound,Shortest homoatomic distance,Shortest heteroatomic distance,Shortest homoatomic distance by 2 by atom size,Shortest heteroatomic distance by sum of atom sizes,Shortest homoatomic distance by 2 by refined atom size,Shortest heteroatomic distance by sum of refined sizes,Highest refined percent difference by 100 (abs value),Lowest refined percent difference by 100 (abs value),Packing efficiency
250977,ErNi3,2.4607,2.8489,0.9831,0.984,1.0,1.0,0.0169,0.0154,0.72254
250476,EuPb3,3.4768,3.4768,1.0076,1.0196,1.0,1.0,0.032,0.0076,0.74048
250804,La0.75Pt2.25,2.7308,3.2022,0.9864,0.9998,1.0,1.0,0.0136,0.01,1.00598
250191,Mo3Pt,2.4935,2.7878,0.9156,1.0152,1.0,1.0,0.1132,0.0844,0.63991
250966,Pd3.25In9.75,2.6893,2.6893,0.9767,0.9009,1.0,1.0,0.164,0.0233,0.72791
250368,EuSn3,3.3549,3.3549,1.1259,1.0568,1.0,1.0,0.1259,0.0043,0.74048
250367,SmSn3,3.3139,3.3139,1.1121,1.0335,1.0,1.0,0.1121,0.0347,0.74048
250931,YbPd3,2.8588,2.8588,1.0382,0.8733,1.0,1.0,0.2464,0.0382,0.74048
250562,WRh3,2.6848,2.6849,0.9985,0.9891,1.0,1.0,0.0202,0.0015,0.72370
250461,GdCo3,2.4975,2.9006,0.9996,0.9686,1.0,1.0,0.0536,0.0004,0.72234
250742,V3Ir,2.393,2.6754,0.9122,1.0036,1.0,1.0,0.0921,0.0878,0.63991
250910,Pr0.25Tb0.75,3.5586,3.5586,1.0893,1.0802,1.0,1.0,0.0893,0.0713,1.43915
250381,HoIn3,3.2337,3.2337,1.0052,0.9749,1.0,1.0,0.0537,0.0052,0.74047
250377,SmIn3,3.271,3.271,1.0168,0.9838,1.0,1.0,0.0472,0.0168,0.74048
250384,YbIn3,3.263,3.263,1.0143,0.9308,1.0,1.0,0.1399,0.0143,0.74048
250505,PrAl3,2.9705,2.9706,1.0373,0.9691,1.0,1.0,0.0907,0.0373,0.65099
250338,ErPd3,2.8668,2.8668,1.0411,0.9491,1.0,1.0,0.128,0.0411,0.74048
250807,Eu0.75Pt2.25,2.7301,3.2014,0.9861,1.0432,1.0,1.0,0.09,0.0139,1.00598
250808,Gd0.75Pt2.25,2.6789,3.1412,0.9676,1.0037,1.0,1.0,0.0324,0.0323,1.00598
250365,PrSn3,3.3346,3.3346,1.1191,1.0677,1.0,1.0,0.1191,0.0208,0.74048
250364,CeSn3,3.3385,3.3385,1.1204,1.0388,1.0,1.0,0.1204,0.0316,0.74048
250809,DyPt3,2.8796,2.8796,1.0401,0.9448,1.0,1.0,0.1344,0.0401,0.74048
250507,LaAl3,3.0015,3.0015,1.0481,0.9234,1.0,1.0,0.1748,0.0481,0.63938
250363,LaSn3,3.3725,3.3725,1.1318,1.0193,1.0,1.0,0.1318,0.0728,0.74048
250963,Pt3In,2.8228,2.8228,1.0196,0.9432,1.0,1.0,0.1226,0.0196,0.74048
250504,NdAl3,2.9655,2.9655,1.0355,0.96,1.0,1.0,0.1052,0.0355,0.65381
250737,TaNi3,2.4746,2.4746,0.9886,0.9286,1.0,1.0,0.1245,0.0114,0.64708
250333,EuPd3,2.8957,2.8957,1.0516,0.9459,1.0,1.0,0.1405,0.0516,0.74048
250370,YbSn3,3.3102,3.3102,1.1109,0.9774,1.0,1.0,0.1275,0.1109,0.74047
250717,TbAl3,2.8132,3.0142,0.9823,0.9746,1.0,1.0,0.0321,0.0177,0.67421
250765,SmCo3,2.5017,2.906,1.0013,0.9799,1.0,1.0,0.0357,0.0013,0.72233
250462,GdNi3,2.4823,2.8762,0.9918,0.9597,1.0,1.0,0.0633,0.0082,0.72248
250735,NbNi3,2.4672,2.4672,0.9857,0.92,1.0,1.0,0.1375,0.0143,0.64864
250469,YbIn3,3.2633,3.2633,1.0144,0.9309,1.0,1.0,0.1398,0.0144,0.74048
250329,CePd3,2.9188,2.9188,1.06,0.9414,1.0,1.0,0.1534,0.06,0.74048
250893,PrPd3,2.9283,2.9283,1.0635,0.9728,1.0,1.0,0.1036,0.0635,0.74048
250330,PrPd3,2.9262,2.9262,1.0627,0.9721,1.0,1.0,0.1043,0.0627,0.74047
250679,EuPb3,3.4754,3.4754,1.0072,1.0192,1.0,1.0,0.0315,0.0072,0.74047
250753,Au3Ho,2.9074,2.9074,1.0078,0.9227,1.0,1.0,0.1492,0.0078,0.67508
250755,Au3Yb,2.8809,2.8809,0.9986,0.8627,1.0,1.0,0.2406,0.0014,0.67015
250805,Pr0.75Pt2.25,2.7026,3.169,0.9762,1.0502,1.0,1.0,0.1129,0.0238,1.00599
250378,GdIn3,3.2574,3.2574,1.0125,0.9712,1.0,1.0,0.0669,0.0125,0.74047
250223,Nb0.25Ru0.75,2.7204,2.7204,0.951,0.9859,1.0,1.0,0.049,0.0235,1.45721
250373,LaIn3,3.3478,3.3478,1.0407,0.9769,1.0,1.0,0.0796,0.0407,0.74048
250525,TiNi3,2.5455,2.5455,1.017,0.9587,1.0,1.0,0.0934,0.017,0.73658
250763,Sm3Co,3.4862,2.7553,1.0155,0.9291,1.0,1.0,0.1897,0.0155,0.65527
250811,Ce0.75Pt2.25,2.71,3.1777,0.9788,1.0224,1.0,1.0,0.0574,0.0212,1.00598
250380,DyIn3,3.2379,3.2379,1.0065,0.9896,1.0,1.0,0.0267,0.0065,0.74048
250464,YCo3,2.4809,2.8837,0.993,0.984,1.0,1.0,0.0226,0.007,0.72230
250101,TmAl3,2.9698,2.9698,1.037,1.0006,1.0,1.0,0.037,0.0333,0.74047
250668,La3Co,3.6292,2.835,0.9978,0.9241,1.0,1.0,0.1831,0.0022,0.66362
250648,LuPt3,2.8496,2.8496,1.0293,0.9194,1.0,1.0,0.1693,0.0293,0.74048
