CIF,Compound,A,B,Sto_A,Sto_B,A_atomicweight,A_atomicnumber,A_period,A_group,A_mendeleev,A_valence,A_gilman,A_zeff,A_ie,A_paulingrad,A_paulingen,A_martynoven,A_mp,A_density,A_specificheat,A_cohesive,A_bulkmod,A_abundance,A_abundancesolar,A_hhiprod,A_hhires,A_cost,B_atomicweight,B_atomicnumber,B_period,B_group,B_mendeleev,B_valence,B_gilman,B_zeff,B_ie,B_paulingrad,B_paulingen,B_martynoven,B_mp,B_density,B_specificheat,B_cohesive,B_bulkmod,B_abundance,B_abundancesolar,B_hhiprod,B_hhires,B_cost,molar_mass,AB_diffmendeleev,AB_sumzeff,max_zeff,min_zeff,avg_zeff,AB_diffpaulingrad,AB_diffmartynoven,max_martynoven,min_martynoven,avg_martynoven,AB_diffdensity,max_density,min_density,avg_density,AB_diffcohesive,max_cohesive,min_cohesive,avg_cohesive
250977,ErNi3,Er,Ni,1.0,3.0,167.259,68,6,3,35,14,3,4.018,6.108,1.748,1.24,1.2,1802.15,9.07,0.17,3.29,44.4,0.0,0.0,9476.0,3129.0,270.0,58.693,28,4,10,61,10,3,2.996,7.64,1.244,1.91,1.76,1726.15,8.9,0.44,4.44,177.0,0.0,0.0,988.0,1479.0,7.7,343.339,26,7.014,4.018,2.996,3.252,0.504,0.56,1.76,1.2,1.62,0.17,9.07,8.9,8.942,1.15,4.44,3.29,4.152
250476,EuPb3,Eu,Pb,1.0,3.0,151.965,63,6,3,25,9,3,3.871,5.67,2.084,1.2,1.15,1095.15,5.24,0.18,1.86,14.7,0.0,0.0,9476.0,3129.0,3600.0,207.2,82,6,14,81,28,4,4.426,7.417,1.746,1.87,1.92,600.65,11.4,0.13,2.03,45.8,0.0,0.0,2716.0,1781.0,1.5,773.565,56,8.297,4.426,3.871,4.287,0.338,0.77,1.92,1.15,1.728,6.16,11.4,5.24,9.86,0.17,2.03,1.86,1.988
250804,La0.75Pt2.25,La,Pt,0.75,2.25,138.906,57,6,3,13,3,1,3.84,5.577,1.871,1.1,1.35,1193.15,6.15,0.19,4.47,27.9,0.0,0.0,9476.0,3129.0,64.0,195.084,78,6,10,63,24,3,4.883,8.959,1.385,2.28,1.91,2045.15,21.4,0.13,5.84,276.0,0.0,0.0,5504.0,9087.0,4700.0,543.118,50,8.723,4.883,3.84,4.622,0.486,0.56,1.91,1.35,1.77,15.25,21.4,6.15,17.588,1.37,5.84,4.47,5.498
250191,Mo3Pt,Mo,Pt,3.0,1.0,95.95,42,5,6,50,6,4,3.609,7.092,1.386,2.16,1.94,2890.15,10.2,0.25,6.82,261.0,0.0,0.0,2410.0,5260.0,11.0,195.084,78,6,10,63,24,3,4.883,8.959,1.385,2.28,1.91,2045.15,21.4,0.13,5.84,276.0,0.0,0.0,5504.0,9087.0,4700.0,482.934,13,8.492,4.883,3.609,3.928,0.001,0.03,1.94,1.91,1.932,11.2,21.4,10.2,13.0,0.98,6.82,5.84,6.575
250966,Pd3.25In9.75,Pd,In,3.25,9.75,106.42,46,5,10,62,10,3,3.101,8.337,1.373,2.2,2.08,1827.15,12.0,0.24,3.89,187.0,0.0,0.0,3239.0,8000.0,15.0,114.818,49,5,13,75,13,3,3.259,5.786,1.66,1.78,1.63,429.75,7.31,0.23,2.52,41.1,0.0,0.0,3333.0,2000.0,120.0,1465.34,13,6.36,3.259,3.101,3.219,0.287,0.45,2.08,1.63,1.742,4.69,12.0,7.31,8.482,1.37,3.89,2.52,2.862
250368,EuSn3,Eu,Sn,1.0,3.0,151.965,63,6,3,25,9,3,3.871,5.67,2.084,1.2,1.15,1095.15,5.24,0.18,1.86,14.7,0.0,0.0,9476.0,3129.0,3600.0,118.71,50,5,14,80,14,4,3.672,7.344,1.62,1.96,1.88,505.15,7.31,0.227,3.14,58.2,0.0,0.0,2591.0,1639.0,8.0,508.095,55,7.543,3.871,3.672,3.722,0.464,0.73,1.88,1.15,1.697,2.07,7.31,5.24,6.792,1.28,3.14,1.86,2.82
250367,SmSn3,Sm,Sn,1.0,3.0,150.36,62,6,3,23,8,3,3.847,5.644,1.85,1.17,1.2,1347.15,7.52,0.2,2.14,37.8,0.0,0.0,9476.0,3129.0,130.0,118.71,50,5,14,80,14,4,3.672,7.344,1.62,1.96,1.88,505.15,7.31,0.227,3.14,58.2,0.0,0.0,2591.0,1639.0,8.0,506.49,57,7.519,3.847,3.672,3.716,0.23,0.68,1.88,1.2,1.71,0.21,7.52,7.31,7.362,1.0,3.14,2.14,2.89
250931,YbPd3,Yb,Pd,1.0,3.0,173.045,70,6,3,39,16,3,4.048,6.254,1.933,1.1,1.1,1092.15,6.97,0.15,1.6,30.5,0.0,0.0,9476.0,3129.0,530.0,106.42,46,5,10,62,10,3,3.101,8.337,1.373,2.2,2.08,1827.15,12.0,0.24,3.89,187.0,0.0,0.0,3239.0,8000.0,15.0,492.305,23,7.149,4.048,3.101,3.338,0.56,0.98,2.08,1.1,1.835,5.03,12.0,6.97,10.742,2.29,3.89,1.6,3.318
250562,WRh3,W,Rh,1.0,3.0,183.84,74,6,6,51,20,4,4.593,7.864,1.394,2.36,1.79,3683.15,19.3,0.13,8.9,311.0,0.0,0.0,6981.0,4297.0,11.0,102.906,45,5,9,59,9,4,3.701,7.459,1.342,2.28,1.99,2239.15,12.4,0.242,5.75,276.0,0.0,0.0,3239.0,8000.0,13000.0,492.556,8,8.294,4.593,3.701,3.924,0.052,0.2,1.99,1.79,1.94,6.9,19.3,12.4,14.125,3.15,8.9,5.75,6.538
250461,GdCo3,Gd,Co,1.0,3.0,157.25,64,6,3,27,10,3,4.034,6.15,1.795,1.2,1.1,1586.15,7.9,0.23,4.14,37.9,0.0,0.0,9476.0,3129.0,191.0,58.933,27,4,9,58,9,4,3.046,7.881,1.252,1.88,1.72,1768.15,8.9,0.42,4.39,182.0,0.0,0.0,3052.0,2655.0,21.0,334.05,31,7.08,4.034,3.046,3.293,0.543,0.62,1.72,1.1,1.565,1.0,8.9,7.9,8.65,0.25,4.39,4.14,4.328
250742,V3Ir,V,Ir,3.0,1.0,50.942,23,4,5,46,5,3,2.816,6.746,1.338,1.63,2.22,2163.15,6.11,0.49,5.31,158.0,0.0,0.0,3266.0,3397.0,220.0,192.217,77,6,9,60,23,4,4.908,8.967,1.355,2.2,1.87,2683.15,22.4,0.13,6.94,371.0,0.0,0.0,5504.0,9087.0,4200.0,345.042,14,7.724,4.908,2.816,3.339,0.017,0.35,2.22,1.87,2.133,16.29,22.4,6.11,10.183,1.63,6.94,5.31,5.718
250910,Pr0.25Tb0.75,Pr,Tb,0.25,0.75,140.908,59,6,3,17,5,3,3.8,5.473,1.824,1.13,1.1,1204.15,6.77,0.19,3.7,28.8,0.0,0.0,9476.0,3129.0,170.0,158.925,65,6,3,29,11,3,3.976,5.864,1.773,1.2,1.2,1638.15,8.23,0.18,4.05,38.7,0.0,0.0,9476.0,3129.0,1800.0,154.421,12,7.776,3.976,3.8,3.932,0.051,0.1,1.2,1.1,1.175,1.46,8.23,6.77,7.865,0.35,4.05,3.7,3.962
250381,HoIn3,Ho,In,1.0,3.0,164.93,67,6,3,33,13,3,3.994,6.022,1.761,1.23,1.2,1747.15,8.8,0.16,3.14,40.2,0.0,0.0,9476.0,3129.0,740.0,114.818,49,5,13,75,13,3,3.259,5.786,1.66,1.78,1.63,429.75,7.31,0.23,2.52,41.1,0.0,0.0,3333.0,2000.0,120.0,509.384,42,7.253,3.994,3.259,3.443,0.101,0.43,1.63,1.2,1.522,1.49,8.8,7.31,7.682,0.62,3.14,2.52,2.675
