n,theta,r,t,toughness
6,0,1.5,0.7,1.14466667
6,0,1.5,1.05,1.60756105
6,0,1.5,1.4,1.144337785
6,0,1.7,0.7,3.64273758
6,0,1.7,1.05,3.748405035
6,0,1.7,1.4,2.661723075
6,0,1.9,0.7,5.62889179
6,0,1.9,1.05,6.545940435
6,0,1.9,1.4,5.13711498
6,0,2.1,0.7,6.113001335
6,0,2.1,1.05,7.63448638
6,0,2.1,1.4,2.06551135
6,0,2.3,0.7,22.63629481
6,0,2.3,1.05,11.98794863
6,0,2.3,1.4,2.18745377
6,0,2.5,0.7,27.27353061
6,0,2.5,1.05,27.71493771
6,0,2.5,1.4,1.724510655
6,25,1.6,0.7,1.321202445
6,25,1.6,1.05,1.901228995
6,25,1.6,1.4,1.464165225
6,25,1.8,0.7,2.77622403
6,25,1.8,1.05,2.725128695
6,25,1.8,1.4,3.181724645
6,25,2,0.7,4.561826505
6,25,2,1.05,4.80682388
6,25,2,1.4,5.21743359
6,25,2.2,0.7,5.9481448
6,25,2.2,1.05,10.57081004
6,25,2.2,1.4,7.91761853
6,25,2.4,0.7,9.40534553
6,25,2.4,1.05,25.05585347
6,25,2.4,1.4,2.401968915
6,50,1.5,0.7,0.911408525
6,50,1.5,1.05,0.80713156
6,50,1.5,1.4,0.600585055
6,50,1.7,0.7,1.280064085
6,50,1.7,1.05,1.856575375
6,50,1.7,1.4,1.22887476
6,50,1.9,0.7,1.670555225
6,50,1.9,1.05,1.733336745
6,50,1.9,1.4,3.17129197
6,50,2.1,0.7,16.00978343
6,50,2.1,1.05,4.159978755
6,50,2.1,1.4,4.324624925
6,50,2.3,0.7,3.208368345
6,50,2.3,1.05,8.36155203
6,50,2.3,1.4,10.26593447
6,50,2.5,0.7,6.389414035
6,50,2.5,1.05,23.65177359
6,50,2.5,1.4,8.263866695
6,75,1.6,0.7,0.56218211
6,75,1.6,1.05,0.62222879
6,75,1.6,1.4,1.129298705
6,75,1.8,0.7,0.49796538
6,75,1.8,1.05,0.955209465
6,75,1.8,1.4,1.307267365
6,75,2,0.7,0.70437207
6,75,2,1.05,1.844288285
6,75,2,1.4,14.5440842
6,75,2.2,0.7,2.28417177
6,75,2.2,1.05,13.167347
6,75,2.2,1.4,1.245206375
6,75,2.4,0.7,2.414646575
6,75,2.4,1.05,4.68270893
6,75,2.4,1.4,17.76211779
6,100,1.5,0.7,1.761419435
6,100,1.5,1.05,2.038989845
6,100,1.5,1.4,1.74145084
6,100,1.7,0.7,2.42913609
6,100,1.7,1.05,2.639451635
6,100,1.7,1.4,1.83067924
6,100,1.9,0.7,2.248745235
