formula,target
Ac1H2,30.9154
Ag1Al1O2,34.2327
Ag1Al1O2,49.2211
Ag1Al1S2,32.5879
Ag1Al1Se2,17.6489
Ag1Al1Te2,15.4393
Ag1As1Ba1,28.3141
Ag1As1Ca1,36.0368
Ag1As1S1,12.3086
Ag1As1Sr1,30.4051
Ag1Au1F4,12.2222
Ag1Au1Zn2,25.9944
Ag1Ba1P1,31.0349
Ag1Ba1,10.9346
Ag1Be2,82.9779
Ag1Bi1Ca1,21.138
Ag1Bi1Ca1,19.2232
Ag1Bi1K2,8.33897
Ag1Bi1Li2,13.9659
Ag1Bi1Yb1,20.7652
Ag1Br1,9.78566
Ag1Br1,11.0564
Ag1Br1,10.9116
Ag1Br2Cs1,6.44948
Ag1C1,13.0009
Ag1C2K1,13.3219
Ag1C2Li1,17.0545
Ag1Ca1P1,40.6839
Ag1Ca1Sb1,25.9516
Ag1Ca1,13.0578
Ag1Cd1Sb1,5.16666
Ag1Cd1,13.1851
Ag1Cl1,10.3327
Ag1Cl1,10.3287
Ag1Co1O2,44.5326
Ag1Cr2Te4,4.87635
Ag1Cu4Dy1,15.4923
Ag1Cu4Er1,20.4985
Ag1Cu4Nd1,29.511
Ag1Cu4Tb1,27.5078
Ag1Cu4U1,27.8055
Ag1Cu4Yb1,24.3509
Ag1Dy1Ge1,50.2931
Ag1Dy1Mg1,13.7627
Ag1Dy1Pb1,33.5023
Ag1Dy1Se2,21.5605
Ag1Dy1Se2,20.1899
Ag1Dy1Si1,53.9999
Ag1Dy1Sn1,39.1573
Ag1Dy1Te2,20.3957
Ag1Dy1,26.7189
Ag1Er1Ge1,51.3682
Ag1Er1Ge1,21.0479
Ag1Er1S2,26.8156
Ag1Er1Se2,22.3381
Ag1Er1Si1,56.2685
Ag1Er1Sn1,38.5785
Ag1Er1Sn1,36.9027
Ag1Er1,28.3288
Ag1F1,7.189210000000001
Ag1F3K1,14.4963
Ag1F3Rb1,17.2245
Ag1F3Zn1,31.821
Ag1Ga1O2,38.1351
Ag1Ga1S2,21.4874
Ag1Ga1Te2,16.0253
Ag1Ga1,14.2609
Ag1Gd1,17.8841
Ag1Ge1La1,38.3618
Ag1Ge1Tb1,21.6575
Ag1Hf1,41.2012
Ag1Hf2,48.3343
Ag1Ho1Pb1,32.9778
Ag1Ho1Se2,22.1645
Ag1Ho1Sn1,38.7516
Ag1Ho1,27.4957
Ag1I1,5.08336
Ag1I1,4.23405
Ag1I1,11.2584
Ag1In1O2,26.6377
Ag1In1S2,15.9626
Ag1In1Te2,12.7351
Ag1In2Na3,9.28715
Ag1In5Se8,13.1466
Ag1In5Te8,11.8548
Ag1K1O1,12.2646
Ag1La1Mg1,13.451
Ag1La1Pb1,31.4848
Ag1La1,11.753
Ag1La1,12.6245
Ag1Li1,11.7594
Ag1Li1,14.9382
Ag1Li2Sb1,19.1983
Ag1Mg1Sb1,13.5164
Ag1Mg1Y1,14.3676
Ag1Mg1,22.5797
Ag1Mn3N1,29.2627
Ag1N1,31.6582
Ag1Na1O1,24.1056
Ag1Nb1O3,88.9325
Ag1O1Rb1,10.1089
Ag1O2Sc1,30.8939
Ag1O2Y1,28.4199
Ag1O3Sb1,67.0471
Ag1P1Pd5,40.3004
Ag1P1Pt5,44.2714
Ag1P1Sr1,33.8513
Ag1Pb1Tb1,34.0086
Ag1Pb1Y1,32.6568
Ag1Pd3Se1,22.6436
Ag1Pt3,54.1644
Ag1Pt5Si1,54.0228
Ag1S3Ta1,34.0264
Ag1S3Ta1,32.9161
Ag1Sb3Zr5,59.99100000000001
Ag1Sc1,31.2594
Ag1Se1Tl1,11.5694
Ag1Si1Y1,53.833
Ag1Sn1Tb1,39.1718
Ag1Sr1,13.5338
Ag1Tb1,24.7684
Ag1Te1Tl1,10.6828
Ag1Te2Y1,19.4934
Ag1Th2,18.3489
Ag1Ti1,44.4517
Ag1Ti2,52.3196
Ag1Y1,34.2674
Ag1Yb1,8.55208
Ag1Zn1,18.4212
Ag1Zr1,39.8318
Ag1Zr2,34.2884
Ag1,23.7034
Ag2Al1Sc1,23.3542
Ag2Ba1Sn2,21.6225
Ag2Ba1Te2,13.6307
Ag2Ba1,14.1632
Ag2Ca1Ge2,25.6591
Ag2Ca1,14.6922
Ag2Dy1In1,20.1257
Ag2Dy1,24.3425
Ag2Er1In1,18.0475
Ag2Er1,27.5565
Ag2Ge1Li1,21.5575
Ag2Hg1I4,4.71106
Ag2Ho1In1,19.0459
Ag2Ho1,25.2027
Ag2In1La1,17.1599
Ag2In1Li1,14.8995
Ag2In1Mg1,21.7626
Ag2In1Sc1,17.5095
Ag2In1Tb1,21.3448
Ag2In1Y1,19.4227
Ag2La1Si2,52.9965
Ag2Li1Sn1,17.5022
Ag2Mo1O4,16.562
