QAgNO3(%),Qpva(%),Qtsc(%),Qseed(%),Qtot(uL/min),loss
13.10132159,32.99559471,5.603524229,4.528634361,227,0.57959227
13.10132159,32.99559471,5.603524229,4.528634361,227,0.581558224
13.10132159,32.99559471,5.603524229,4.528634361,227,0.582454368
13.10132159,32.99559471,5.603524229,4.528634361,227,0.582042969
13.10132159,32.99559471,5.603524229,4.528634361,227,0.592302382
13.10132159,32.99559471,5.603524229,4.528634361,227,0.584993185
13.10132159,32.99559471,5.603524229,4.528634361,227,0.593413932
13.10132159,32.99559471,5.603524229,4.528634361,227,0.584016568
13.10132159,32.99559471,5.603524229,4.528634361,227,0.590568509
13.10132159,32.99559471,5.603524229,4.528634361,227,0.563922402
13.10132159,32.99559471,5.603524229,4.528634361,227,0.591604906
13.10132159,32.99559471,5.603524229,4.528634361,227,0.562494147
13.10132159,32.99559471,5.603524229,4.528634361,227,0.578252617
13.10132159,32.99559471,5.603524229,4.528634361,227,0.579751684
13.10132159,32.99559471,5.603524229,4.528634361,227,0.595509727
13.10132159,32.99559471,5.603524229,4.528634361,227,0.606903685
13.10132159,32.99559471,5.603524229,4.528634361,227,0.595077957
13.10132159,32.99559471,5.603524229,4.528634361,227,0.606395018
13.10132159,32.99559471,5.603524229,4.528634361,227,0.590025976
13.10132159,32.99559471,5.603524229,4.528634361,227,0.599987515
13.10132159,32.99559471,5.603524229,4.528634361,227,0.59034078
13.10132159,32.99559471,5.603524229,4.528634361,227,0.579271279
13.10132159,32.99559471,5.603524229,4.528634361,227,0.595084917
13.10132159,32.99559471,5.603524229,4.528634361,227,0.580966606
13.10132159,32.99559471,5.603524229,4.528634361,227,0.588124181
13.10132159,32.99559471,5.603524229,4.528634361,227,0.557766091
17.3,11,12,15.2,280,0.701142698
17.3,11,12,15.2,280,0.692439385
17.3,11,12,15.2,280,0.692950669
17.3,11,12,15.2,280,0.69031088
17.3,11,12,15.2,280,0.679737954
17.3,11,12,15.2,280,0.684187969
17.3,11,12,15.2,280,0.684468663
17.3,11,12,15.2,280,0.687642684
17.3,11,12,15.2,280,0.681472281
17.3,11,12,15.2,280,0.680168866
17.3,11,12,15.2,280,0.687703075
17.3,11,12,15.2,280,0.687181406
17.3,11,12,15.2,280,0.687748439
6.672672673,39.003003,16.3003003,17.2972973,333,0.833782203
6.672672673,39.003003,16.3003003,17.2972973,333,0.845598295
6.672672673,39.003003,16.3003003,17.2972973,333,0.859415569
6.672672673,39.003003,16.3003003,17.2972973,333,0.859925548
6.672672673,39.003003,16.3003003,17.2972973,333,0.85734452
6.672672673,39.003003,16.3003003,17.2972973,333,0.85733286
6.672672673,39.003003,16.3003003,17.2972973,333,0.85458649
6.672672673,39.003003,16.3003003,17.2972973,333,0.862757244
6.672672673,39.003003,16.3003003,17.2972973,333,0.854627573
6.672672673,39.003003,16.3003003,17.2972973,333,0.859550375
6.672672673,39.003003,16.3003003,17.2972973,333,0.858528321
6.672672673,39.003003,16.3003003,17.2972973,333,0.857044598
6.672672673,39.003003,16.3003003,17.2972973,333,0.855657205
6.672672673,39.003003,16.3003003,17.2972973,333,0.856607126
6.672672673,39.003003,16.3003003,17.2972973,333,0.849264473
6.672672673,39.003003,16.3003003,17.2972973,333,0.842882384
6.672672673,39.003003,16.3003003,17.2972973,333,0.857608685
6.672672673,39.003003,16.3003003,17.2972973,333,0.85140147
6.672672673,39.003003,16.3003003,17.2972973,333,0.862581051
6.672672673,39.003003,16.3003003,17.2972973,333,0.861020897
6.672672673,39.003003,16.3003003,17.2972973,333,0.855597475
6.672672673,39.003003,16.3003003,17.2972973,333,0.844991645
6.672672673,39.003003,16.3003003,17.2972973,333,0.863987012
6.672672673,39.003003,16.3003003,17.2972973,333,0.85773478
6.672672673,39.003003,16.3003003,17.2972973,333,0.846233929
16.2997416,13.00258398,15.19896641,18.39793282,387,0.797446264
16.2997416,13.00258398,15.19896641,18.39793282,387,0.730628463
16.2997416,13.00258398,15.19896641,18.39793282,387,0.73811485
16.2997416,13.00258398,15.19896641,18.39793282,387,0.743248997
16.2997416,13.00258398,15.19896641,18.39793282,387,0.741964439
16.2997416,13.00258398,15.19896641,18.39793282,387,0.744922149
16.2997416,13.00258398,15.19896641,18.39793282,387,0.740787702
16.2997416,13.00258398,15.19896641,18.39793282,387,0.746445801
16.2997416,13.00258398,15.19896641,18.39793282,387,0.750268988
