Material Composition,EnergyAboveHull,Formation_energy,Paper citation
Ba1Sr7V8O24,29.74770732,-2.113334555,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Bi2Pr4Co8O24,106.702335,-1.311862585,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Ca6Fe8O24,171.6080933,-1.435607274,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Cd2Pr4Ni8O24,284.8981896,-0.868639335,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Dy6Fe8O24,270.0079129,-1.746806189,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Gd6Fe8O24,70.97342159,-1.903261754,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Ho6Fe8O24,291.384616,-1.730646902,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2La6Co8O24,59.63498938,-1.663537668,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2La6Cr8O24,16.66840972,-2.244336479,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2La6Fe8O24,0,-2.003512701,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2La6Ga8O24,94.50620971,-2.142007386,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2La6Mn8O24,43.36372073,-2.058584002,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2La6Ni8O24,162.3085821,-1.335043043,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2La6Sc8O24,14.09444405,-3.002093623,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2La6Ti8O24,14.81005156,-2.830398081,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2La6V8O24,53.85203387,-2.352156953,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Mg6Fe8O24,515.8053305,-1.014907035,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Nd6Fe8O24,132.8149808,-1.819950909,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Pr6Co8O24,62.49404951,-1.60742447,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Pr6Cr8O24,33.65498379,-2.125968031,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Pr6Fe8O24,58.88531967,-1.881720753,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Pr6Ga8O24,155.4650781,-2.022670188,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Pr6Mn8O24,51.30901636,-2.003141803,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Pr6Ni8O24,162.8921755,-1.281903845,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Pr6Sc8O24,65.98496318,-2.896167925,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Pr6Ti8O24,10.17451175,-2.755494882,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Pr6V8O24,18.9735033,-2.282407505,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sm6Fe8O24,178.2357388,-1.794980239,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sn2Pr4Ni8O24,276.3402685,-1.033511169,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sr6Co8O24,106.7457587,-1.210712992,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sr6Fe4Co4O24,109.488956,-1.340597884,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sr6Fe4Ni4O24,183.2712842,-1.143708571,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sr6Fe6Co2O24,105.7221796,-1.410678704,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sr6Fe6Ni2O24,135.9544601,-1.314627173,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sr6Fe7Co1O24,113.0606437,-1.43325399,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sr6Fe7Ni1O24,110.2858358,-1.399373849,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sr6Fe8O24,89.50296147,-1.479234775,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sr6Mn1Fe7O24,102.7754203,-1.49147175,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sr6Mn2Fe6O24,96.03603838,-1.519664725,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sr6Mn4Fe4O24,86.69975106,-1.563023425,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sr6Mn8O24,113.8862036,-1.597024575,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sr6Ni8O24,258.8280509,-0.801693367,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Sr6V8O24,42.13350699,-2.100668277,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Y6Co8O24,113.4830544,-1.643965255,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Y6Cr8O24,101.755733,-2.163963566,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Y6Fe8O24,84.72896518,-1.913356538,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Y6Ga8O24,184.3874048,-2.066766973,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Y6Mn8O24,91.10598761,-2.029611338,https://doi.org/10.1016/j.commatsci.2018.04.033
